ipc-lockup-overlay href,ipc-title-link-wrapper href,ipc-title__text,ipc-inline-list__item,ipc-inline-list__item (2),ipc-inline-list__item (3),sc-9fe7b0ef-0,metacritic-score-label,ipc-rating-star--rating,ipc-rating-star--voteCount,ipc-html-content-inner-div,sc-35f5f4fb-3,ipc-link href,ipc-link,sc-35f5f4fb-3 (2),ipc-link href (2),ipc-link (2),ipc-link href (3),ipc-link (3),ipc-link href (4),ipc-link (4),ipc-html-content-inner-div (2),ipc-link href (5),ipc-link (5),ipc-link href (6),ipc-link (6)
https://www.imdb.com/title/tt13651794/?ref_=ls_i_11,https://www.imdb.com/title/tt13651794/?ref_=ls_t_11,11. May December,2023,1h 57m,R,86,Metascore,6.7,(73K),"Twenty years after their notorious tabloid romance gripped the nation, a married couple buckles under pressure when an actress arrives to do research for a film about their past.",Director,https://www.imdb.com/name/nm0001331/?ref_=ls_li_1_1,Todd Haynes,Stars,https://www.imdb.com/name/nm0000204/?ref_=ls_li_2_1,Natalie Portman,https://www.imdb.com/name/nm3461890/?ref_=ls_li_2_2,Chris Tenzis,https://www.imdb.com/name/nm6217576/?ref_=ls_li_2_3,Charles Melton,One of the more gripping dramas to come out for a while. Unlike some of high profile dramas that want to glorify some heinous figures in our past here is a film that doesn’t flinch at the idea to show people’s true nature. Which it does here. Take in the whole picture not just pick and choose the parts of someone’s life that suit you to tell some uplifting story about an individual who never was a good individual. All these bio pics this year are like that. So I’m so glad a movie like this exists because whenever they make another bio pic about an individual who has done some heinous acts against humanity. Haynes never disappoints. If only he could movies along a little faster. A lot of drama movies have come out this year but this one stands out the most because of the subject matter that expands what is expected from these type of movies. So this one is one of those dramas that stand out. That don’t have any outside factor to stand on. It stands completely on the back of its story and screenplay. That is what makes this special and standout compared to other so called dramas out there. As much as I like some of them they don’t have the weight this one does. This is about the people where again I can’t hold to candle to the others. Even something like Maestro but even that has an element that exceeds past its own story. This doesn’t have that. Which makes me like this one even more.,,,,
https://www.imdb.com/title/tt14849194/?ref_=ls_i_12,https://www.imdb.com/title/tt14849194/?ref_=ls_t_12,12. The Holdovers,2023,2h 13m,R,82,Metascore,7.9,(247K),"In 1970, a curmudgeonly history teacher at a New England boarding school remains on campus during Christmas break to supervise held over students, and ends up forming an unlikely bond with a brainy but damaged troublemaker.",Director,https://www.imdb.com/name/nm0668247/?ref_=ls_li_1_1,Alexander Payne,Stars,https://www.imdb.com/name/nm0316079/?ref_=ls_li_2_1,Paul Giamatti,https://www.imdb.com/name/nm5007768/?ref_=ls_li_2_2,Da'Vine Joy Randolph,https://www.imdb.com/name/nm14073757/?ref_=ls_li_2_3,Dominic Sessa,"Two powerful dramas that are about people have been extraordinary to come out. May December and this. I would call Oppenheimer and KOTFM dramas but they have other aspects that affect the drama. KOTFM with its crime angle doesn’t make it a full on drama like this one is, and Oppenheimer because of the War angle. But this and May December are what I would call old school drama movies like the ones made way back in the day. But The Holdovers is the one that stands out because it is so gripping and interesting to bring excellent discussion to the table. About grief, potential how to not to waste it, along with never settling for anything less. A true testament of one’s own way of living. So yeah I love it and it packs a mean punch by the end. Some dramas do try to have other elements like I mentioned with the other movies but this is an old school old fashioned drama about people. Even something like Past Lives doesn’t have this much drama behind it.",,,,
https://www.imdb.com/title/tt21064584/?ref_=ls_i_13,https://www.imdb.com/title/tt21064584/?ref_=ls_t_13,13. The Iron Claw,2023,2h 12m,R,73,Metascore,7.5,(119K),"The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s.",Director,https://www.imdb.com/name/nm1699934/?ref_=ls_li_1_1,Sean Durkin,Stars,https://www.imdb.com/name/nm1374980/?ref_=ls_li_2_1,Zac Efron,https://www.imdb.com/name/nm2087739/?ref_=ls_li_2_2,Jeremy Allen White,https://www.imdb.com/name/nm6170168/?ref_=ls_li_2_3,Harris Dickinson,"One of the better movies I have seen this year. I feel like this wouldn’t be in my top ten any other year. And I feel like maybe if I did watch more movies this wouldn’t last but even so this was a week year. However, this movie that stands on its own is something truly expected to know what movie this is but while also delivering on those promises. I knew it was going to be tragic along with it being expertly told and even written. It’s some of the best acting I have seen and Zac Efron has never been better.",,,,
https://www.imdb.com/title/tt23561236/?ref_=ls_i_14,https://www.imdb.com/title/tt23561236/?ref_=ls_t_14,14. American Fiction,2023,1h 57m,R,81,Metascore,7.5,(134K),A novelist who's fed up with the establishment profiting from Black entertainment uses a pen name to write a book that propels him into the heart of the hypocrisy and madness he claims to disdain.,Director,https://www.imdb.com/name/nm6852255/?ref_=ls_li_1_1,Cord Jefferson,Stars,https://www.imdb.com/name/nm0942482/?ref_=ls_li_2_1,Jeffrey Wright,https://www.imdb.com/name/nm4169254/?ref_=ls_li_2_2,Skyler Wright,https://www.imdb.com/name/nm0018099/?ref_=ls_li_2_3,John Ales,,,,,
https://www.imdb.com/title/tt13238346/?ref_=ls_i_15,https://www.imdb.com/title/tt13238346/?ref_=ls_t_15,15. Past Lives,2023,1h 45m,PG-13,94,Metascore,7.8,(172K),"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny.",Director,https://www.imdb.com/name/nm10227660/?ref_=ls_li_1_1,Celine Song,Stars,https://www.imdb.com/name/nm2336966/?ref_=ls_li_2_1,Greta Lee,https://www.imdb.com/name/nm1654982/?ref_=ls_li_2_2,Teo Yoo,https://www.imdb.com/name/nm1910274/?ref_=ls_li_2_3,John Magaro,"Yep I love it. Nothing to complain about. Move over Woody Allen you are not the only one to film two people walking around New York talking about what could have been. Damn even writing that makes me want to weep. Aside from performances the direction here is spot on. I really deeply hope that Celine Song name is among the best director list. Because holy crap that is the highest praise I can give this film outside the story and acting. It is nothing short of a modern masterpiece and I know that word gets thrown around a lot lately but it suits this film like a glove. Man do I love how deeply affective a film like this can be. But Fruits Baskets did it better.

10/10",,,,
https://www.imdb.com/title/tt5302918/?ref_=ls_i_16,https://www.imdb.com/title/tt5302918/?ref_=ls_t_16,16. Nyad,2023,2h 1m,PG-13,63,Metascore,7.1,(45K),"The remarkable true story of athlete Diana Nyad who, at the age of 60 and with the help of her best friend and coach, commits to achieving her life-long dream: a 110-mile open ocean swim from Cuba to Florida.",Directors,https://www.imdb.com/name/nm3011011/?ref_=ls_li_1_1,Jimmy Chin,Stars,https://www.imdb.com/name/nm1888091/?ref_=ls_li_1_2,Elizabeth Chai Vasarhelyi,https://www.imdb.com/name/nm0000906/?ref_=ls_li_2_1,Annette Bening,https://www.imdb.com/name/nm0000149/?ref_=ls_li_2_2,Jodie Foster,"Sometimes a feel good real inspirational joy ride is what you need. A lot and I mean a lot of biopics came out this year and I’m sick and tired of these god awful long and boring movies that are never fun. This is fun, this is exciting and this is how movies are made. Both the lead performances are great and even at 2 hours it never felt shorter. It was an awesome ride that made me laugh and smile very much. Don’t let life win. You win.",https://www.imdb.com/name/nm13578781/?ref_=ls_li_2_3,Anne Marie Kempf,,
https://www.imdb.com/title/tt12263384/?ref_=ls_i_17,https://www.imdb.com/title/tt12263384/?ref_=ls_t_17,17. Extraction II,2023,2h 2m,R,57,Metascore,7.0,(173K),"After barely surviving his grievous wounds from his mission in Dhaka, Bangladesh, Tyler Rake is back, and his team is ready to take on their next mission.",Director,https://www.imdb.com/name/nm1092087/?ref_=ls_li_1_1,Sam Hargrave,Stars,https://www.imdb.com/name/nm1165110/?ref_=ls_li_2_1,Chris Hemsworth,https://www.imdb.com/name/nm0267042/?ref_=ls_li_2_2,Golshifteh Farahani,https://www.imdb.com/name/nm5575653/?ref_=ls_li_2_3,Adam Bessa,"Fire. This shit is straight gas. I have seen it twice and wow does this get the ball rolling from the word go. It is a fun ride that doesn’t over stay it’s welcome but sadly it falls short compared to the first film. I was hoping that this might surpass the first Extraction but without a pure badass villain and more focus on Tyler Rake’s pass kinda brought the movie down for me. However, Chris Hemsworth is still delivering a top notch performance aside from the action sequences. He has made this character his own with nothing to tie him down creatively. And Sam Hargrave provides enough for him to go above and beyond than what is written on the page. He still is an awesome character that has become a 21st century John McClain. And I mean that with all honesty. Bring on the third one

8/10",,,,
https://www.imdb.com/title/tt15398776/?ref_=ls_i_18,https://www.imdb.com/title/tt15398776/?ref_=ls_t_18,18. Oppenheimer,2023,3h,R,90,Metascore,8.2,(1M),"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",Director,https://www.imdb.com/name/nm0634240/?ref_=ls_li_1_1,Christopher Nolan,Stars,https://www.imdb.com/name/nm0614165/?ref_=ls_li_2_1,Cillian Murphy,https://www.imdb.com/name/nm1289434/?ref_=ls_li_2_2,Emily Blunt,https://www.imdb.com/name/nm0000354/?ref_=ls_li_2_3,Matt Damon,"Just off of pure craftsmanship this is untouchable. Nolan time and time again does the unthinkable while at the same time delivering on what made him a force to be reckon with. I do have some complaints. The beginning is very Wikipedia dump about Oppenheimer it did not grab the attention like so many of his other movies. I mean Nolan’s openings are usually miniature movie themselves. From Inception, The Dark Knight, and even Tenet. However, the way he uses the atom bomb to symbolize a terrible and catastrophic weapon that killed millions he always paints a very serious picture of another serious weapon that can be used against us. Information. That is then the focal point in the third act where I heard a certain number of people had a problem with. How it turns into a non courtroom drama about finding out the truth. And while Nolan is doing his usual told out of order routine it still managed to keep me engage. Even without the big loud explosions that third act had enough to be desired. So this worked for me and it being a new favorite this Summer is nothing less than expected. The cast itself still has a lot to desire. Peaky is great and should totally win him that Oscar, Iron homie is great here as well, along with Boy Sweat Dave who just towers over Murphy in physically and in charisma. I honestly can’t say I would see this ever again but on a large scale exploration of what movies this medium are supposed to do is an awesome experience to behold. O yeah and Jason Bourne is also just downright incredible in this and I can see him get an Oscar nomination with this and Air he is having a great year.

10/10",,,,
https://www.imdb.com/title/tt5537002/?ref_=ls_i_19,https://www.imdb.com/title/tt5537002/?ref_=ls_t_19,19. Killers of the Flower Moon,2023,3h 26m,R,89,Metascore,7.5,(307K),"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.",Director,https://www.imdb.com/name/nm0000217/?ref_=ls_li_1_1,Martin Scorsese,Stars,https://www.imdb.com/name/nm0000138/?ref_=ls_li_2_1,Leonardo DiCaprio,https://www.imdb.com/name/nm0000134/?ref_=ls_li_2_2,Robert De Niro,https://www.imdb.com/name/nm4291409/?ref_=ls_li_2_3,Lily Gladstone,"They are a lot of 9/10 movies I rated this year but none have tested any truer than this one. It honestly makes all the other films drop down in ratings based solely on how brilliant this film is with many flaws. First is Dicap who is solely miscast. Lily Gladstone is incredible but she is bedridden for a majority of the movie and aside from her no other Osage community member has a shed of presence. For a story that entirely should be about them. But Lily’s character, Molly, being the sole representative of this community and for her to be absent most of the movie leaves a lot to be desired. Which is the ultimate complaint I have against the movie being underwhelming as hell.",,,,
https://www.imdb.com/title/tt16419074/?ref_=ls_i_20,https://www.imdb.com/title/tt16419074/?ref_=ls_t_20,20. Air,2023,1h 51m,R,73,Metascore,7.4,(195K),The history of the game-changing partnership between a then undiscovered Michael Jordan and Nike's fledgling basketball division which revolutionized the world of sports and culture with the Air Jordan brand.,Director,https://www.imdb.com/name/nm0000255/?ref_=ls_li_1_1,Ben Affleck,Stars,https://www.imdb.com/name/nm0000354/?ref_=ls_li_2_1,Matt Damon,https://www.imdb.com/name/nm0000867/?ref_=ls_li_2_2,Jason Bateman,https://www.imdb.com/name/nm0000255/?ref_=ls_li_2_3,Ben Affleck,"Aside from the fact that at the end it says Travis Knight donated a shit ton of money to charity without anything else to go off of at the end was a little jarring. But everything else I flat out love. The biopics about inventing stuff has been pretty good and this rises above the rest. But BlackBerry and even Tetris have Air a run for it’s money. I do love at the end it does mention how influential Jordan was not only to the NBA but also his legacy as a human being coming from humble beginnings can be very tiresome seeing over and over again but here is a company who took that opportunity the same way Jordan did with the NBA which is why it works so well. I love the performances and everyone here did an amazing job.

9/10",,,,
https://www.imdb.com/title/tt21192142/?ref_=ls_i_21,https://www.imdb.com/title/tt21192142/?ref_=ls_t_21,21. All of Us Strangers,2023,1h 45m,R,90,Metascore,7.6,(79K),A screenwriter drawn back to his childhood home enters into a fledgling relationship with his downstairs neighbor while discovering a mysterious new way to heal from losing his parents 30 years ago.,Director,https://www.imdb.com/name/nm0354091/?ref_=ls_li_1_1,Andrew Haigh,Stars,https://www.imdb.com/name/nm0778831/?ref_=ls_li_2_1,Andrew Scott,https://www.imdb.com/name/nm8958770/?ref_=ls_li_2_2,Paul Mescal,https://www.imdb.com/name/nm15211024/?ref_=ls_li_2_3,Carter John Grout,Catching up a lot with the Oscar movies only to find out this wasn’t nominated for anything. Completely overlooked for me in the best adapted screenplay. Maybe even lead for Andrew Scott. For me I would take out Coleman but I’m fine with that nominee. But to me I didn’t find this the sad gay movie the way it was sold to me. It is a sad movie but damn anyone can feel exactly what this movie is going for. I haven’t seen much of the directors work. Which I think this might be the first I have seen from him so it’s crazy that this is the first film from him and I have to say I may have fell in love with this movie. Performances and directing was all top notch which it does stand out as one of the best acted movie this year. As I was saying about dramas this year this would be amongst some of them. It may go off the rails by the end but it still has so many good other proponents that makes this a really good movie.,,,,
https://www.imdb.com/title/tt9603212/?ref_=ls_i_22,https://www.imdb.com/title/tt9603212/?ref_=ls_t_22,22. Mission: Impossible - Dead Reckoning Part One,2023,2h 43m,PG-13,81,Metascore,7.6,(327K),Ethan Hunt and his IMF team must track down a terrifying new weapon that threatens all of humanity.,Director,https://www.imdb.com/name/nm0003160/?ref_=ls_li_1_1,Christopher McQuarrie,Stars,https://www.imdb.com/name/nm0000129/?ref_=ls_li_2_1,Tom Cruise,https://www.imdb.com/name/nm2017943/?ref_=ls_li_2_2,Hayley Atwell,https://www.imdb.com/name/nm0000609/?ref_=ls_li_2_3,Ving Rhames,"I really wish I liked this more. Because Fallout is in my top 3 best action movies of all time and it number 3 I can tell you that. Sadly Dead Reckoning isn’t as good as I hoped but because of how weak this year as been so far and countless of disappointing films to come out this year it still manages to come out on top. All of the stunts are top notch, the performances along with some actual grunge lines coming from the heart in some of these actors are quite touching. But it seems a lot of short comings are bleeding through and extremely noticeable. The first being some of the performances are not that good as even some previous movies those actors have been in. Along with some of the newcomers are not bringing their A game as I hoped. With the exception of Peggy Carter. She is in top form mainly because McQuiree is not afraid to go for broke when it comes with giving actors their time to shine. And Peggy Carter has both the action part down along with the vulnerability down to a T. The second act tho is the biggest culprit when it comes to my complaints. Because holy crap do I have a lot of problems with the middle section of the movie. A lot of movies are like that. Even the big motorcycle jump stunt isn’t as hot or as big as the movie tries to make it seem. The train sequence tho is big bombastic and insane which made me love it. Very strong Uncharted vibes which is maybe why I love the third act so much. Aside from the motorcycle stunt. Also the beginning Hunt for Red October homage was again McQuairee flexing his filmmaking muscles so much I almost had to dodge just how strong he was delivering. I am huge fan of this franchise and will continue to see these films day one. So bring on part two. Which might be better and I hope so.

My ranking:

1.) Fallout
2.) M:I:III
3.) Rogue Nation
4.) Mission Impossible
5.) Ghost Protocol
6.) Dead Reckoning
7.) M:I:II",,,,
